gbifID	datasetKey	occurrenceID	kingdom	phylum	class	order	family	genus	species	infraspecificEpithet	taxonRank	scientificName	verbatimScientificName	verbatimScientificNameAuthorship	countryCode	locality	stateProvince	occurrenceStatus	individualCount	publishingOrgKey	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	coordinatePrecision	elevation	elevationAccuracy	depth	depthAccuracy	eventDate	day	month	year	taxonKey	speciesKey	basisOfRecord	institutionCode	collectionCode	catalogNumber	recordNumber	identifiedBy	dateIdentified	license	rightsHolder	recordedBy	typeStatus	establishmentMeans	lastInterpreted	mediaType	issue
5087840202	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/265266867	Animalia	Chordata	Amphibia	Caudata	Salamandridae	Ommatotriton	"Ommatotriton vittatus"		SPECIES	"Ommatotriton vittatus (Gray, 1835)"	"Ommatotriton vittatus cilicensis"		TR		Mersin	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	36.765595	34.893903	977.0						2025-03-14T12:31	14	3	2025	2431811	2431811	HUMAN_OBSERVATION	iNaturalist	Observations	265266867		"Cumali Yeşil"	2025-03-14T11:10:29	CC_BY_NC_4_0	"Cumali Yeşil"	"Cumali Yeşil"			2026-06-30T20:41:03.048Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_ID_NOT_FOUND;TAXON_MATCH_HIGHERRANK
1257410577	50c9509d-22c7-4a22-a47d-8c48425ef4a7	http://www.inaturalist.org/observations/2743593	Animalia	Chordata	Amphibia	Caudata	Salamandridae	Ommatotriton	"Ommatotriton vittatus"		SPECIES	"Ommatotriton vittatus (Gray, 1835)"	"Ommatotriton vittatus"		IL		Golan	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	33.069149	35.685551	29012.0						2016-03-04	4	3	2016	2431811	2431811	HUMAN_OBSERVATION	iNaturalist	Observations	2743593		"אריאל שמיר"	2016-03-04T16:27:42	CC_BY_NC_4_0	"אריאל שמיר"	"אריאל שמיר"			2026-06-30T21:01:39.335Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_ID_NOT_FOUND
3747027378	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/71915519	Animalia	Chordata	Amphibia	Caudata	Salamandridae	Ommatotriton	"Ommatotriton vittatus"		SPECIES	"Ommatotriton vittatus (Gray, 1835)"	"Ommatotriton vittatus"		LB		North	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	34.217654	35.953372	28846.0						2019-03-09T10:23	9	3	2019	2431811	2431811	HUMAN_OBSERVATION	iNaturalist	Observations	71915519		"Johnny Baakliny"	2021-03-24T01:03:31	CC_BY_NC_4_0	"Johnny Baakliny"	"Johnny Baakliny"			2026-06-30T20:51:23.097Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_ID_NOT_FOUND
1640098196	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/7794491	Animalia	Chordata	Amphibia	Caudata	Salamandridae	Ommatotriton	"Ommatotriton vittatus"		SPECIES	"Ommatotriton vittatus (Gray, 1835)"	"Ommatotriton vittatus"		IL		HaZafon	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	33.035758	35.592124	29012.0						2014-01-04T11:41	4	1	2014	2431811	2431811	HUMAN_OBSERVATION	iNaturalist	Observations	7794491		"Eliane Küpfer"	2017-09-05T16:58:10	CC_BY_NC_4_0	"Eliane Küpfer"	"Eliane Küpfer"			2026-06-30T20:47:46.021Z	StillImage;StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_ID_NOT_FOUND
4075754124	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/151951265	Animalia	Chordata	Amphibia	Caudata	Salamandridae	Ommatotriton	"Ommatotriton vittatus"		SPECIES	"Ommatotriton vittatus (Gray, 1835)"	"Ommatotriton vittatus"		IL		"Tel Aviv"	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	32.094274	34.953191	29146.0						2021-01-31T21:41	31	1	2021	2431811	2431811	HUMAN_OBSERVATION	iNaturalist	Observations	151951265		"Jonathan Ben Simon"	2023-03-22T19:04:31	CC_BY_NC_4_0	"Jonathan Ben Simon"	"Jonathan Ben Simon"			2026-06-30T20:32:32.994Z		COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_ID_NOT_FOUND
4075956816	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/152518099	Animalia	Chordata	Amphibia	Caudata	Salamandridae	Ommatotriton	"Ommatotriton vittatus"		SPECIES	"Ommatotriton vittatus (Gray, 1835)"	"Ommatotriton vittatus"		SY		Tartus	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	34.847203	36.052533	41.0						2023-03-27T05:26:35	27	3	2023	2431811	2431811	HUMAN_OBSERVATION	iNaturalist	Observations	152518099		"Ali Ali"	2023-03-27T16:19:41	CC_BY_NC_4_0	"Ali Ali"	"Ali Ali"			2026-06-30T21:16:23.442Z	StillImage;StillImage;StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_ID_NOT_FOUND
5088033302	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/265266359	Animalia	Chordata	Amphibia	Caudata	Salamandridae	Ommatotriton	"Ommatotriton vittatus"		SPECIES	"Ommatotriton vittatus (Gray, 1835)"	"Ommatotriton vittatus cilicensis"		TR		Mersin	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	36.765595	34.893903	977.0						2025-03-14T12:35	14	3	2025	2431811	2431811	HUMAN_OBSERVATION	iNaturalist	Observations	265266359		"Cumali Yeşil"	2025-03-14T11:03:16	CC_BY_NC_4_0	"Cumali Yeşil"	"Cumali Yeşil"			2026-06-30T21:32:27.513Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_ID_NOT_FOUND;TAXON_MATCH_HIGHERRANK
4111817103	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/160694613	Animalia	Chordata	Amphibia	Caudata	Salamandridae	Ommatotriton	"Ommatotriton vittatus"		SPECIES	"Ommatotriton vittatus (Gray, 1835)"	"Ommatotriton vittatus"		SY		Lattakia	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	35.560364	35.806679	31.0						2023-05-08T15:50	8	5	2023	2431811	2431811	HUMAN_OBSERVATION	iNaturalist	Observations	160694613		"Humam Ghanim"	2023-05-09T05:53:03	CC_BY_NC_4_0	"Humam Ghanim"	"Humam Ghanim"			2026-06-30T21:22:50.930Z	StillImage;StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_ID_NOT_FOUND
2596157156	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/41223380	Animalia	Chordata	Amphibia	Caudata	Salamandridae	Ommatotriton	"Ommatotriton vittatus"		SPECIES	"Ommatotriton vittatus (Gray, 1835)"	"Ommatotriton vittatus"		SY		Lattakia	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	35.553805	35.807563	122.0						2020-04-02T11:03	2	4	2020	2431811	2431811	HUMAN_OBSERVATION	iNaturalist	Observations	41223380		"M. Salimeh"	2020-04-02T12:10:06	CC_BY_NC_4_0	"M. Salimeh"	"M. Salimeh"			2026-06-30T21:09:02.462Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_ID_NOT_FOUND
4506526088	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/194906286	Animalia	Chordata	Amphibia	Caudata	Salamandridae	Ommatotriton	"Ommatotriton vittatus"		SPECIES	"Ommatotriton vittatus (Gray, 1835)"	"Ommatotriton vittatus"		SY		Tartus	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	34.859985	36.043047	362.0						2023-12-23T14:03:57	23	12	2023	2431811	2431811	HUMAN_OBSERVATION	iNaturalist	Observations	194906286		"Ali Ali"	2023-12-26T18:01:37	CC_BY_NC_4_0	"Ali Ali"	"Ali Ali"			2026-06-30T21:30:12.298Z	StillImage;StillImage;StillImage;StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_ID_NOT_FOUND
4116429948	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/160961693	Animalia	Chordata	Amphibia	Caudata	Salamandridae	Ommatotriton	"Ommatotriton vittatus"		SPECIES	"Ommatotriton vittatus (Gray, 1835)"	"Ommatotriton vittatus"		SY		Lattakia	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	35.555822	35.809387	122.0						2023-05-08T10:32	8	5	2023	2431811	2431811	HUMAN_OBSERVATION	iNaturalist	Observations	160961693		"M. Salimeh"	2023-05-10T19:57:52	CC_BY_NC_4_0	"M. Salimeh"	"M. Salimeh"			2026-06-30T20:33:12.869Z	StillImage;StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_ID_NOT_FOUND
4919695140	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/231572564	Animalia	Chordata	Amphibia	Caudata	Salamandridae	Ommatotriton	"Ommatotriton vittatus"		SPECIES	"Ommatotriton vittatus (Gray, 1835)"	"Ommatotriton vittatus"		IL		Haifa	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	32.64737	35.00732	29066.0						2017-04-04T16:42	4	4	2017	2431811	2431811	HUMAN_OBSERVATION	iNaturalist	Observations	231572564		"Wouter Beukema"	2024-07-25T07:56:35	CC_BY_NC_4_0	"Wouter Beukema"	"Wouter Beukema"			2026-06-30T20:38:36.031Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_ID_NOT_FOUND
3947463554	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/139790397	Animalia	Chordata	Amphibia	Caudata	Salamandridae	Ommatotriton	"Ommatotriton vittatus"		SPECIES	"Ommatotriton vittatus (Gray, 1835)"	"Ommatotriton vittatus cilicensis"		TR		Adana	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	36.575023	35.38353	5093.0						1993-03-27T20:50	27	3	1993	2431811	2431811	HUMAN_OBSERVATION	iNaturalist	Observations	139790397		"Александръ Тѣневскій"	2023-06-24T10:46:19	CC_BY_NC_4_0	jvdwinden	jvdwinden			2026-06-30T21:18:59.630Z	StillImage;StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_ID_NOT_FOUND;TAXON_MATCH_HIGHERRANK
4062877422	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/151145114	Animalia	Chordata	Amphibia	Caudata	Salamandridae	Ommatotriton	"Ommatotriton vittatus"		SPECIES	"Ommatotriton vittatus (Gray, 1835)"	"Ommatotriton vittatus"		IL		"Tel Aviv"	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	32.108006	34.909117	29146.0						2023-02-27T20:57	27	2	2023	2431811	2431811	HUMAN_OBSERVATION	iNaturalist	Observations	151145114		"Merav Vonshak"	2023-03-14T19:04:42	CC_BY_NC_4_0	"Merav Vonshak"	"Merav Vonshak"			2026-06-30T21:22:28.428Z	StillImage;StillImage;StillImage;StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_ID_NOT_FOUND
4075592215	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/152053272	Animalia	Chordata	Amphibia	Caudata	Salamandridae	Ommatotriton	"Ommatotriton vittatus"		SPECIES	"Ommatotriton vittatus (Gray, 1835)"	"Ommatotriton vittatus"		IL		HaZafon	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	32.674383	35.15547	29066.0						2020-03-25T14:38:02	25	3	2020	2431811	2431811	HUMAN_OBSERVATION	iNaturalist	Observations	152053272		"Jonathan Ben Simon"	2023-03-23T18:35:42	CC_BY_NC_4_0	"Jonathan Ben Simon"	"Jonathan Ben Simon"			2026-06-30T21:22:31.603Z		COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_ID_NOT_FOUND
